TERYT;TELEFON
0224013;748171478
0202011;748334255
0214023;713146251
0225033;757725115
0221011;748449311
0201011;756456400
0201022;757323221
0205023;757413215
0217012;713933221
0222013;713195117
0208063;748117600
0216013;768185020
0209011;768188285
0209022;768188502
0224022;748103556
0213012;713848182
0221042;748450139
0223012;717265700
0223022;713230203
0219032;748586217
0214032;713141167
0215022;713017735
0208011;748697660
0214042;627869280
0202021;746450800
0202052;748325695
0216022;768316285
0203011;767265400
0203022;768365555
0221053;748459479
0204013;655443600
0216032;768315501
0201032;757382452
0212013;757813552
0206052;757515124
0205011;768702021
0219043;748588230
0221021;748455215
0215033;713817100
0261011;757546101
0204022;655447479
0203032;768312121
0206062;757132254
0223032;713911580
0224032;748162010
0207011;756455110
0207022;756106292
0206011;757619150
0223043;713907200
0208021;748654600
0208072;746474100
0223052;713698130
0217022;713926060
0218012;713170283
0203042;768318361
0206021;756439222
0213022;713846000
0209032;768878422
0208031;748661926
0209042;768575322
0208083;748117850
0262011;767212199
0209052;768582810
0210033;757211239
0208092;748698429
0210011;756464400
0210042;756465920
0207033;757411588
0211011;767468100
0211022;768403100
0212023;757833166
0212033;756477888
0202062;748939455
0218022;713179223
0219052;748585226
0207042;757410367
0205032;768713440
0221063;748494300
0223062;713168113
0214053;627856019
0208103;748126327
0218032;717359228
0213033;713840004
0209062;768871212
0212043;756470440
0205042;768788520
0206072;756439960
0204032;655435676
0202073;748376265
0208041;748720300
0208112;748722263
0201043;757380660
0220013;713103519
0214011;717982100
0214062;713140200
0210053;757212368
0215011;713035501
0215042;713133044
0201052;757312107
0205052;768701792
0203052;768317126
0206031;757548900
0226032;768775013
0225043;757786511
0202031;748365487
0202041;748324910
0210062;757221690
0206082;757548101
0208051;748680600
0216043;768474107
0201000;757323258
0202000;748321864
0203000;767282801
0204000;655443900
0205000;767290100
0206000;756473100
0207000;756450100
0208000;748657511
0209000;767243560
0210000;756464300
0211000;767467100
0212000;757823650
0213000;713841328
0214000;713140114
0215000;713011522
0216000;767461500
0217000;713923016
0218000;713175646
0219000;748500400
0220000;713879501
0221000;748460700
0222000;713805901
0223000;717221701
0224000;748162800
0225000;757761555
0226000;768786930
0209073;768584342
0220023;713126224
0216053;768319210
0217032;748102052
0208123;748735000
0216062;768311478
0211032;767492100
0209082;768580311
0223083;717860901
0210072;757221778
0223073;713162043
0206092;757514337
0221072;748452220
0224042;748164510
0208133;748117711
0219063;748560599
0217043;713921971
0225052;757787288
0214073;627855100
0221031;748493916
0208143;748683305
0206041;757547708
0211043;767400200
0218043;713173052
0219011;748562800
0219072;748521226
0219021;746669517
0210021;757816489
0226043;757135360
0220033;713120611
0214083;713992200
0218052;767442870
0221082;748494340
0265011;746655100
0201062;757389592
0205062;768874323
0204043;655437850
0225063;757712556
0217053;713931136
0222022;713804200
0220042;713084800
0212053;757136438
0226011;757512230
0200000;717769053
0222033;713191305
0264011;717777777
0226052;768773396
0225011;757788282
0220052;713128182
0224053;748165300
0225021;757756604
0225072;757721400
0224063;748163870
0226021;768779100
0226062;768783780
0224073;748164164
0219083;748580084
0220063;713853057
0223092;713165302
0203062;768314241
0401011;542824855
0401042;542822059
0401052;542724100
0401021;544161800
0401062;542722302
0401031;542838126
0401000;542827900
0401072;542831885
0401082;542830044
0401092;542720931
0402062;564936810
0402022;564913350
0402011;564930300
0402032;564941612
0402042;564912910
0402053;564989249
0402073;566976800
0402082;564938123
0402000;564950800
0402092;564938460
0402102;564939317
0403012;523239090
0461011;525858913
0403022;523816056
0403032;523648010
0403043;523826400
0403052;523206868
0403062;523241800
0403000;525835400
0403072;525870401
0403083;523870144
0404011;566771717
0404022;566861540
0404032;566867056
0404042;566768614
0404052;566768101
0404000;566772410
0404062;566770900
0404072;566866006
0405022;566837781
0405011;566835412
0405032;566835400
0405043;566841024
0405000;566835380
0405052;566837522
0405062;542801921
0462011;564510200
0406012;564511111
0406022;564683121
0406033;564665043
0406000;564514400
0406043;566886001
0406052;564688494
0406062;564661613
0407022;523512170
0407033;523543008
0407011;523555300
0407042;523555810
0407053;523514411
0407063;523515010
0407073;525665024
0407000;523592100
0407082;523511390
0407092;523517160
0408022;542305132
0408032;543067535
0408043;542530500
0408052;542894670
0408011;542884211
0408062;542872048
0408000;542872039
0408073;542878521
0408082;542876260
0408092;542897380
0409012;523153215
0409022;523187220
0409033;523185500
0409000;523180304
0409043;523189291
0410013;525893720
0410023;523867410
0410033;523867900
0410000;523866622
0410042;523393930
0410053;523910700
0411022;542851317
0411032;542850157
0411042;542650005
0411053;542654180
0411000;542853553
0411011;542857100
0411062;542853686
0411072;542869035
0412022;542701123
0412000;542802432
0412032;542801621
0412011;542809600
0412042;542809700
0412052;542700212
0412062;564938321
0413000;523881300
0413013;523894510
0413023;523894200
0413032;523890110
0413043;523895207
0414012;523309310
0414022;523324969
0414032;523317008
0414042;523318025
0414052;523323002
0414063;523337210
0414072;523329592
0414000;525683100
0414082;525624300
0414093;523332310
0414102;523322280
0414112;523326040
0463011;566222555
0415011;566752291
0415022;566756076
0415032;542875001
0415042;566782100
0415052;566788217
0415062;566783222
0415072;566786022
0415000;566628888
0415082;566781212
0415092;566741311
0416012;523347550
0416022;523367310
0416032;523344091
0416042;523349310
0416000;525590700
0416052;523340710
0416063;525642500
0417000;566882450
0417022;566884910
0417032;566888167
0417042;566875200
0417052;566877500
0417011;566884500
